sample_id,pod_id,seq,t0_src_utc,t1_gateway_accepted_utc,t1_row_ts_pc_utc,t2_db_visible_utc,t3_dashboard_visible_utc,temp_c,rh_pct,gateway_ingestion_ms,db_availability_ms,db_after_gateway_ms,dashboard_visibility_ms,end_to_end_ms,dashboard_status
99:1,99,1,2026-04-03T11:25:50.615924Z,2026-04-03T11:25:50.616938Z,2026-04-03T11:25:50Z,2026-04-03T11:25:50.657920Z,2026-04-03T11:25:50.677960Z,20.01,45.01,1.014,41.995999999999995,40.982,62.036,62.036,OPTIMAL
99:2,99,2,2026-04-03T11:25:50.677960Z,2026-04-03T11:25:50.678962Z,2026-04-03T11:25:50Z,2026-04-03T11:25:50.722593Z,2026-04-03T11:25:50.761928Z,20.02,45.02,1.002,44.632999999999996,43.631,83.968,83.968,OPTIMAL
99:3,99,3,2026-04-03T11:25:50.761928Z,2026-04-03T11:25:50.761928Z,2026-04-03T11:25:50Z,2026-04-03T11:25:50.805836Z,2026-04-03T11:25:50.838849Z,20.03,45.03,0.0,43.908,43.908,76.921,76.921,OPTIMAL
99:4,99,4,2026-04-03T11:25:50.838849Z,2026-04-03T11:25:50.839851Z,2026-04-03T11:25:50Z,2026-04-03T11:25:50.882419Z,2026-04-03T11:25:50.917405Z,20.04,45.04,1.002,43.57,42.568000000000005,78.556,78.556,OPTIMAL
99:5,99,5,2026-04-03T11:25:50.917405Z,2026-04-03T11:25:50.917405Z,2026-04-03T11:25:50Z,2026-04-03T11:25:50.959025Z,2026-04-03T11:25:50.996037Z,20.05,45.05,0.0,41.62,41.62,78.63199999999999,78.63199999999999,OPTIMAL
99:6,99,6,2026-04-03T11:25:50.996037Z,2026-04-03T11:25:50.996037Z,2026-04-03T11:25:50Z,2026-04-03T11:25:51.039693Z,2026-04-03T11:25:51.054700Z,20.06,45.06,0.0,43.656,43.656,58.663,58.663,OPTIMAL
99:7,99,7,2026-04-03T11:25:51.054700Z,2026-04-03T11:25:51.055684Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.100268Z,2026-04-03T11:25:51.137285Z,20.07,45.07,0.9840000000000001,45.568,44.583999999999996,82.58500000000001,82.58500000000001,OPTIMAL
99:8,99,8,2026-04-03T11:25:51.137285Z,2026-04-03T11:25:51.138280Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.180911Z,2026-04-03T11:25:51.216882Z,20.08,45.08,0.995,43.626,42.631,79.597,79.597,OPTIMAL
99:9,99,9,2026-04-03T11:25:51.216882Z,2026-04-03T11:25:51.216882Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.264503Z,2026-04-03T11:25:51.295519Z,20.09,45.09,0.0,47.620999999999995,47.620999999999995,78.637,78.637,OPTIMAL
99:10,99,10,2026-04-03T11:25:51.295519Z,2026-04-03T11:25:51.295519Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.341176Z,2026-04-03T11:25:51.384189Z,20.1,45.1,0.0,45.657000000000004,45.657000000000004,88.67,88.67,OPTIMAL
99:11,99,11,2026-04-03T11:25:51.384189Z,2026-04-03T11:25:51.384189Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.430741Z,2026-04-03T11:25:51.454831Z,20.11,45.11,0.0,46.552,46.552,70.642,70.642,OPTIMAL
99:12,99,12,2026-04-03T11:25:51.454831Z,2026-04-03T11:25:51.454831Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.502451Z,2026-04-03T11:25:51.532465Z,20.12,45.12,0.0,47.620000000000005,47.620000000000005,77.634,77.634,OPTIMAL
99:13,99,13,2026-04-03T11:25:51.532465Z,2026-04-03T11:25:51.532465Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.580041Z,2026-04-03T11:25:51.611057Z,20.13,45.13,0.0,47.576,47.576,78.592,78.592,OPTIMAL
99:14,99,14,2026-04-03T11:25:51.611057Z,2026-04-03T11:25:51.611057Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.656697Z,2026-04-03T11:25:51.690706Z,20.14,45.14,0.0,45.64,45.64,79.649,79.649,OPTIMAL
99:15,99,15,2026-04-03T11:25:51.690706Z,2026-04-03T11:25:51.691693Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.702683Z,2026-04-03T11:25:51.738964Z,20.15,45.15,0.987,11.977,10.99,48.258,48.258,OPTIMAL
99:16,99,16,2026-04-03T11:25:51.738964Z,2026-04-03T11:25:51.738964Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.757234Z,2026-04-03T11:25:51.786251Z,20.16,45.16,0.0,18.270000000000003,18.270000000000003,47.287000000000006,47.287000000000006,OPTIMAL
99:17,99,17,2026-04-03T11:25:51.786251Z,2026-04-03T11:25:51.787232Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.804230Z,2026-04-03T11:25:51.831588Z,20.17,45.17,0.9810000000000001,17.979,16.997999999999998,45.337,45.337,OPTIMAL
99:18,99,18,2026-04-03T11:25:51.831588Z,2026-04-03T11:25:51.832570Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.849559Z,2026-04-03T11:25:51.881552Z,20.18,45.18,0.982,17.971,16.989,49.964,49.964,OPTIMAL
99:19,99,19,2026-04-03T11:25:51.881552Z,2026-04-03T11:25:51.882555Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.902584Z,2026-04-03T11:25:51.916564Z,20.19,45.19,1.003,21.032,20.029,35.012,35.012,OPTIMAL
99:20,99,20,2026-04-03T11:25:51.916564Z,2026-04-03T11:25:51.917557Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.935565Z,2026-04-03T11:25:51.960796Z,20.2,45.2,0.993,19.001,18.008,44.232,44.232,OPTIMAL
99:21,99,21,2026-04-03T11:25:51.960796Z,2026-04-03T11:25:51.960796Z,2026-04-03T11:25:51Z,2026-04-03T11:25:51.977813Z,2026-04-03T11:25:52.007847Z,20.21,45.21,0.0,17.017,17.017,47.051,47.051,OPTIMAL
99:22,99,22,2026-04-03T11:25:52.007847Z,2026-04-03T11:25:52.008827Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.025817Z,2026-04-03T11:25:52.039774Z,20.22,45.22,0.98,17.97,16.990000000000002,31.926999999999996,31.926999999999996,OPTIMAL
99:23,99,23,2026-04-03T11:25:52.039774Z,2026-04-03T11:25:52.039774Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.058769Z,2026-04-03T11:25:52.087767Z,20.23,45.23,0.0,18.995,18.995,47.993,47.993,OPTIMAL
99:24,99,24,2026-04-03T11:25:52.087767Z,2026-04-03T11:25:52.088747Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.106765Z,2026-04-03T11:25:52.132951Z,20.24,45.24,0.98,18.998,18.018,45.184000000000005,45.184000000000005,OPTIMAL
99:25,99,25,2026-04-03T11:25:52.132951Z,2026-04-03T11:25:52.133936Z,2026-04-03T11:25:52Z,2026-04-03T11:25:52.150926Z,2026-04-03T11:25:52.166945Z,20.25,45.25,0.985,17.975,16.990000000000002,33.99400000000001,33.99400000000001,OPTIMAL
